solID,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
3_638_1,2.64449488819315,0.910078569231388,0.00605612936977016,2.23455635453466,0.784149219521082,0.0710093541548838,1.02767432458717,0.937077441343881,0.187820374755628,2.32273177733076,0.614532856660817,0.0240601855387713,1.91003155360642,0.897513819620579,0.170554947117414,1.23837623472994,0.54255427012615,0.564238703873133,534937.440072413,0,0.187149044952772,0.0677094551657386,0.188520728327548,0.0739895870342125,7220864.474564,0,0.0839509963989258,227.205368995667,1,638,1,3,1275,FALSE,TRUE,3
3_672_1,2.60604477823695,0.521551308136576,0.107973877483529,1.73901184483496,0.531599833374355,0.250888716611868,1.95389293785873,0.714295987630659,0.174790965703871,1.82233503217245,0.707595879241699,0.0833890736150505,1.82147260467582,0.779857365024924,0.301539828710093,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564588,0,0.137958711480105,0.288856752076195,0.554798704911718,0.00519469978469308,7220864.474564,0,0.0919489860534668,244.766304016113,1,672,0,3,1343,TRUE,TRUE,2
3_702_1,2.60604477823695,0.521551308136576,0.107973877483529,1.73901184483496,0.531599833374355,0.250888716611868,1.95389293785873,0.714295987630659,0.373808225129764,2.98285881825626,0.908258121937959,0.0165195130626874,1.38229710784244,0.779857365024924,0.301539828710093,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564582,0,0.137863703363023,0.28665501587113,0.555411687908006,0.005194699784693,7220864.474564,0,0.106936931610107,260.053539991379,1,702,0,3,1403,TRUE,TRUE,1
3_717_1,2.60604477823695,0.521551308136576,0.107973877483529,1.62209830876366,0.639098518550804,0.13711681070883,1.74252850981323,0.997782933700812,0.281536857526048,1.93278936732803,0.845401233133784,0.0884816069796254,0.740295733619759,0.604603893516805,0.301539828710093,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564582,0,0.137918204370569,0.290090905703698,0.555060104426237,0.005194699784693,7220864.474564,0,0.0739598274230957,268.239850997925,1,717,0,3,1433,TRUE,TRUE,2
3_739_2,2.45161839195213,0.97455529741325,0.0199622841475052,1.78177834862547,0.742494274677296,0.239988812569414,1.56680769546446,0.99057998560496,0.227054933091143,2.7932334472959,0.606253222033854,0.0412587065742578,1.36927119679998,0.600035344802723,0.362908941206163,1.28588199605209,0.529653609811517,0.728017073426228,87425.0173264262,0,0.14285249047013,0.172560094582665,0.522653445071678,0.0120084793648491,7220864.474564,0,0.0689599514007568,278.420675992966,2,739,0,3,1478,TRUE,TRUE,3
3_762_1,2.60604477823695,0.521551308136576,0.107973877483529,1.73901184483496,0.531599833374355,0.250888716611868,1.95389293785873,0.714295987630659,0.373808225129764,2.81405192624819,0.970511822199198,0.120596802936681,2.05363304028749,0.779857365024924,0.301539828710093,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564582,0,0.137811468545667,0.29012281424665,0.555748521886285,0.005194699784693,7220864.474564,0,0.0839519500732422,287.421334028244,1,762,0,3,1523,TRUE,TRUE,2
3_764_1,2.57153410963959,0.959075025546369,0.0440347161121465,0.859715491636502,0.756960766994123,0.16777386018408,1.94853923145592,0.499216921613003,0.305895933050329,2.85504941188967,0.923324567877589,0.0520209359094388,0.733024682265458,0.899357027431704,0.246248997403929,1.82743858713877,0.586871766827736,0.592843551106778,484211.430537816,0,0.185939785980728,0.0659165706195065,0.198973555421003,0.0669639624955489,7220864.474564,0,0.0529689788818359,288.077955961227,1,764,1,3,1527,TRUE,TRUE,2
3_777_1,2.45060983282879,0.50944280314779,0.115179166855796,1.15318693487017,0.336008093696767,0.203751211448852,2.14152431654047,0.403233303070368,0.373808225129764,2.81405192624819,0.970511822199198,0.120596802936681,2.05363304028749,0.779857365024924,0.301539828710093,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564582,0,0.13767760519543,0.3331066406547,0.556611151233375,0.005194699784693,7220864.474564,0,0.0759570598602295,293.806295156479,1,777,0,3,1553,TRUE,TRUE,1
3_789_2,2.68113050057086,0.998808909612414,0.20819922728139,1.66855602470443,0.689200341429254,0.176610425917448,1.60574578315964,0.716424735644325,0.0912903069882106,1.07441357231345,0.486529029081344,0.105156059296165,2.85195409872183,0.930263881947095,0.336225135484692,1.2109491648114,0.511463993637254,0.308947458139627,418603.593581575,0,0.180490254722772,0.0834750242094572,0.245238539726506,0.057877183671876,7220864.474564,0,0.109936952590942,300.511450052261,2,789,1,3,1578,TRUE,TRUE,3
3_792_1,2.60604477823695,0.521551308136576,0.107973877483529,1.73901184483496,0.531599833374355,0.250888716611868,1.95389293785873,0.714295987630659,0.373808225129764,2.81405192624819,0.970511822199198,0.120596802936681,2.05363304028749,0.950477179995201,0.341798223767965,0.512218919812767,0.439954432593722,0.306899317175423,38228.5585564582,0,0.137811468545667,0.290122814246647,0.555748521886285,0.005194699784693,7220864.474564,0,0.105939865112305,301.818701982498,1,792,0,3,1583,TRUE,TRUE,1
