solID,dieci_costo_alphas,dieci_costo_gammas,dieci_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,venti_costo_alphas,venti_costo_gammas,venti_costo_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
3_708_1,0.542357872429461,0.833298899019493,0.0291938248249955,2.93934983959454,0.985882158264464,0.114208459607437,1.31929986457292,0.501578912000674,0.203549039110466,0.777934925449404,0.464857781696105,0.200643159474883,2.90767859487847,0.842875606489762,0.109516295419088,0.688438209583072,0.370563084469023,0.0215889597509088,2.69122309989401,0.443189269779811,0.0320673713184474,501049.228947107,0,0.147058610925279,0.15511309516052,0.299201250248262,0.0693910151581356,7210993.61728321,0,0.109014987945557,415.763669967651,1,708,1,3,1415,TRUE,TRUE,2
3_710_2,0.736843866076382,0.427237584200403,0.00750435402837777,2.84532643053295,0.984859974235906,0.0548307258914978,0.991708799950816,0.443504354496099,0.0380275429765035,0.834553805853275,0.75143397641792,0.26055160673366,2.47699028566304,0.966249884953871,0.0823568596763496,1.25832670417331,0.333056173034127,0.129722842401088,2.54097233275838,0.307673611912787,0.105456649504861,24665.748599757,0,0.102600781601557,0.244858928781733,0.655594801868075,0.00332090766035723,7210993.61728321,0,0.0920369625091553,417.001326084137,2,710,0,3,1420,TRUE,TRUE,3
3_735_2,0.611636353433375,0.64525741704513,0.0303826236863661,2.57713340177883,0.79227335196313,0.0905695061726679,1.47213760486611,0.36887965272286,0.315353247395537,0.996326061869234,0.915757941856838,0.216100805424858,2.2027118271371,0.848092955550074,0.101780326172297,2.10130695570064,0.763382103892971,0.241932198458287,2.8652934141739,0.308626208773603,0.00674804288779291,8714.74469922928,0,0.10227435412601,0.26877527496103,0.657782786765497,0.00110864676995666,7210993.61728321,0,0.124933004379272,432.292768955231,2,735,0,3,1470,TRUE,TRUE,2
3_736_2,0.554807688874136,0.84776599980026,0.191314907148563,1.08084414594563,0.620237377603068,0.11887691614237,1.61652547523257,0.739615870301832,0.329827323135783,1.00408890686157,0.941391524099236,0.0559472494208883,2.60153702609136,0.949313185262966,0.0962021367218876,2.88400713581611,0.964275902365141,0.336732852684222,2.04023988550531,0.318829898861175,0.0796756905898993,29966.5784072348,0,0.10301688151768,0.2217555457594,0.652795650356004,0.00405608511645232,7210993.61728321,0,0.188547849655151,433.014636039734,2,736,0,3,1472,TRUE,TRUE,1
3_766_2,0.554807688874136,0.84776599980026,0.191314907148563,1.08084414594563,0.47581661247487,0.174750598904999,1.83068259654789,0.72675645021549,0.35526028406521,1.18670948849518,0.941391524099236,0.0559472494208882,2.60153702609136,0.949313185262966,0.0962021367218876,2.88400713581611,0.964275902365141,0.336732852684222,2.04023988550531,0.318829898861175,0.0796756905898993,29966.5784072348,0,0.103023027266917,0.222423094402874,0.652754222301002,0.00405608511645232,7210993.61728321,0,0.10975193977356,452.647710084915,2,766,0,3,1532,TRUE,TRUE,2
3_770_2,0.614035847448072,0.583145898637538,0.0207886896475394,2.94689373381734,0.86187966383184,0.0951379114615843,1.11417871501228,0.34229259402573,0.0380275429765035,0.834553805853275,0.75143397641792,0.26055160673366,2.47699028566304,0.755621730163962,0.0714460618347924,1.07134326285122,0.599297670155187,0.0978266558695321,2.34364230189878,0.463801036106727,0.142999915596868,333057.914875853,0,0.137060716890681,0.197819105837754,0.391250808251558,0.0460921296231294,7210993.61728321,0,0.137703895568848,455.611022949219,2,770,1,3,1540,TRUE,TRUE,2
3_773_2,0.876497095137008,0.502986187040518,0.0791182073189827,2.50562692384744,0.886752440243952,0.0272688515863464,1.3772289774034,0.907976621512682,0.261400830461147,0.651860434985564,0.481650623081878,0.254545552315429,0.980507051632421,0.741971317540054,0.0675759236736159,0.881724434091927,0.378387958295571,0.0279971301162525,2.8088483828275,0.462707878469046,0.107230552010548,341139.74188049,0,0.138088189235535,0.198498383901554,0.382089651135751,0.0472130063978351,7210993.61728321,0,0.130313873291016,457.731317996979,2,773,1,3,1546,TRUE,TRUE,3
3_781_2,0.6436254612397,0.889080763618837,0.143607989325917,1.01206062937204,0.701966752659779,0.0992263514080967,1.74984128594941,0.739615870301832,0.329827323135783,1.00408890686157,0.941391524099236,0.0559472494208882,2.60153702609136,0.949313185262966,0.0962021367218876,2.88400713581611,0.964275902365141,0.336732852684222,2.04023988550531,0.318829898861175,0.0796756905898993,29966.5784072348,0,0.103063262069786,0.235107811069855,0.652482941326544,0.00405608511645232,7210993.61728321,0,0.157802104949951,463.428151130676,2,781,0,3,1562,TRUE,TRUE,3
3_787_1,0.525015187625391,0.970838921992596,0.0889720703275982,2.85286612850461,0.992521531871256,0.0774549727019404,1.02205531885126,0.87876060921583,0.362241581288434,0.86853494980028,0.82790548812795,0.166113991921342,2.4594940626748,0.982134969420749,0.113555700456277,0.518080177549733,0.411535381359791,0.0232701307644255,2.37147121013186,0.418369671758987,0.062418280789397,1026473.38942736,0,0.16364786562363,0.140941104988392,0.132173134995322,0.142262624265044,7210993.61728321,0,0.12401294708252,467.429840087891,1,787,1,3,1573,TRUE,TRUE,2
3_800_2,0.614035847448072,0.583145898637538,0.0207886896475394,2.94689373381734,0.86187966383184,0.0865469872539277,1.65555272526634,0.61478816956423,0.300967016101455,0.845122769641536,0.75143397641792,0.26055160673366,2.47699028566304,0.755621730163962,0.0714460618347924,1.07134326285122,0.599297670155187,0.0978266558695321,2.34364230189878,0.463801036106727,0.142999915596868,333057.914875853,0,0.137065344444002,0.197445161142323,0.391209701405442,0.0460921296231294,7210993.61728321,0,0.111721038818359,476.710082054138,2,800,1,3,1600,TRUE,TRUE,2
