solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,dieci_costo,venti_costo,cluster,top_sol
2_846_1,0,0.148141850177232,0.156078182404804,0.0742229000244288,0.701449026212388,0,0.863889639697851,0.195814511642421,0.109825247193084,0.154675570351982,2,FALSE
2_853_1,0,0.144475488556152,0.15669767024366,0.0681794037483374,0.79230754634298,0,0.991534707011838,0.159974442104364,0.106745839237446,0.139939899857048,2,FALSE
2_870_1,0,0.2246441969801,0.105890628164372,0.472058331522753,0,0,0,0.511430785094335,0.642955472302163,0.965399562259922,1,FALSE
2_883_1,0,0.144383754759596,0.15670237912618,0.0674494711297346,0.794606444693674,0,0.988365709194107,0.159850617563177,0.106718038397937,0.139931095086349,2,FALSE
2_885_1,0,0.224117008663207,0.105893830322653,0.458786474539012,0,0,0,0.510768478795187,0.642002335453968,0.966776949717072,1,FALSE
2_896_2,0,0.149245709521257,0.155619114561895,0.0853765636471301,0.777299798944621,0,0.958616018068822,0.183120438742697,0.0984278939845498,0.188545073527872,2,FALSE
2_898_1,0,0.143543492913044,0.156704432097503,0.0627061320431993,0.812519665191299,0,0.989591567869243,0.159793375280802,0.106704231986392,0.139991645427828,2,FALSE
2_900_2,0,0.238388667032391,0.102648548733093,0.558159595638977,0,0,0,0.0450400173076635,0.74449655852984,0.949633767399218,1,FALSE
2_913_1,0,0.142454772368184,0.158509839986079,0.0453649474304951,0.789407876333647,0,0.995566886426975,0.132949416730314,0.0871700956780395,0.102631850771547,2,FALSE
2_922_2,0,0.189739244840773,0.138332798501273,0.146708010745462,0.816925878359962,0,0.161813876812874,0.351977805126994,0.276065224023603,0.407068078565941,3,FALSE
2_926_1,0,0.234893239105086,0.102396695756662,0.648729104077761,0,0,0,0.601951985125716,0.779615062511286,0.978164442422676,1,FALSE
2_934_1,0,0.222987213100794,0.110287114509955,0.381954411274608,0,0,0,0.46093998673954,0.555061226372633,0.85948489839867,1,FALSE
2_941_1,0,0.231976465091861,0.102463475333203,0.646790858004362,0,0,0,0.705351380402945,0.722791292216185,1,1,FALSE
2_954_2,0,0.198782931247053,0.137426887232617,0.137724073680946,0.732286665262837,0,0,0.383499662525797,0.285427992027902,0.411548940475129,3,FALSE
2_956_1,0,0.231976465091858,0.102463475333203,0.646790858004309,0,0,0,0.705351380402846,0.72279129221619,0.999999999999996,1,FALSE
