solID,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
2_640_2,2.98360875260064,0.880695262734019,0.116529147190425,1.19242421420189,0.722415337817911,0.27766928941631,1.57572329027972,0.93077514810227,0.163796450796394,0.558592809672539,0.779612603156594,0.0768094973943848,0.818302533034381,0.938162340245574,0.778235540576066,317430.911117011,0,0.136170081340094,0.262570912410862,0.437239756058384,0.0380841247068149,8313993.751907,0,0.0469970703125,169.769068002701,2,640,0,2,1280,FALSE,TRUE,1
2_641_2,2.99161807604332,0.861346348112415,0.214739698528124,1.56749669765361,0.810129292886783,0.0425235089621226,0.95661017198321,0.967176726184671,0.13259684423664,0.6723776574089,0.790826805670006,0.00908713872620576,0.504966060953859,0.90400815679105,0.451318257915746,368931.696265902,0,0.13817048408595,0.244768639748715,0.420583879754422,0.044279214248547,8313993.751907,0,0.0539989471435547,170.045068979263,2,641,0,2,1282,FALSE,TRUE,3
2_642_1,1.80799970796241,0.736177210235354,0.241303926028055,0.742368388911554,0.646099586274035,0.31944947814338,2.0608326045503,0.722069565210159,0.295850730964536,2.54771304271375,0.401696262728357,0.286074978108184,1.15126883009506,0.905575596849197,0.352655572792241,54861.3832708926,0,0.119930838115597,1.10321950558449,0.563462303135608,0.0064993298103034,8313993.751907,0,0.0420010089874268,170.251070022583,1,642,0,2,1283,FALSE,TRUE,2
2_644_2,2.73189350974418,0.835774245413669,0.181042449466864,1.22114844999125,0.403510474502886,0.121522718497877,2.11535707037769,0.93490713333907,0.144301486154205,1.79333972904072,0.91810724360164,0.0140699917271521,0.913145075858721,0.47547506657145,0.456857030378941,218297.446011303,0,0.131157763182392,0.347492341658409,0.477906822213815,0.0261592445105901,8313993.751907,0,0.0710108280181885,170.817252874374,2,644,0,2,1288,FALSE,TRUE,1
2_654_1,2.48692842212182,0.923736036689969,0.0376736505447196,0.725640730208309,0.336756025799809,0.398881180154564,2.99363664789195,0.787666339619469,0.142402037044611,2.00474564273009,0.491007218351235,0.197947649546538,0.89814052040884,0.845837200456087,0.365311957989644,124815.814958802,0,0.125307908443894,0.464341910821824,0.523440668770123,0.0149142300277404,8313993.751907,0,0.0489258766174316,173.807366847992,1,654,0,2,1307,FALSE,TRUE,1
2_655_2,2.98360875260064,0.880695262734019,0.116529147190425,1.19242421420189,0.722415337817911,0.27766928941631,1.57572329027972,0.93077514810227,0.19115763908635,0.53558912730737,0.688341867769728,0.0768094973943848,0.644925558000523,0.86289941246976,0.41105390934281,317430.911117011,0,0.135659911682307,0.265332215663165,0.441448689081996,0.0380841247068149,8313993.751907,0,0.0500738620758057,174.089995861053,2,655,0,2,1310,FALSE,TRUE,1
2_656_2,2.99161807604332,0.861346348112415,0.268316365573664,1.58829991336663,0.989924107878855,0.149895582042274,0.701530604211819,0.974446241346067,0.00694459418214288,0.508642158884148,0.845010330386095,0.0276549659806458,0.720931989256738,0.995175115522739,0.409717737713827,368931.696265902,0,0.137732441705923,0.250440034834186,0.424251906142475,0.044279214248547,8313993.751907,0,0.0450749397277832,174.355995893478,2,656,0,2,1312,FALSE,TRUE,3
2_658_1,2.63985602648958,0.925251605144728,0.00497175508034979,1.44790596487062,0.713079313064011,0.0589218791496131,1.00934854715925,0.725562244039153,0.140006666795166,1.5621635850031,0.609751598589909,0.0747713191647329,0.565833474914446,0.543085726449511,0.717151147145632,602864.985154571,0,0.145424019962657,0.21295195283841,0.358151830687418,0.072419322545292,8313993.751907,0,0.0459940433502197,174.785547971725,1,658,0,2,1315,FALSE,TRUE,3
2_666_2,2.19883629534397,0.629366852691973,0.0337597294048233,1.00002916139329,0.966539142943698,0.177223228130197,1.54238900446815,0.684366880018136,0.0732043644007635,2.91355113826384,0.438366210820594,0.152891306909899,0.619285317390872,0.984095984584362,0.794489066713305,651694.293148273,0,0.160813094955624,0.200659655113725,0.218876174066467,0.0782930569826847,8313993.751907,0,0.0930249691009521,177.064416885376,2,666,1,2,1332,FALSE,TRUE,3
2_678_1,2.67272469970565,0.845865503397086,0.0308149750059899,1.06705196323861,0.454788451265358,0.318114387609539,2.60419120764481,0.756878477293048,0.162429293100827,2.90712897289146,0.984494318921392,0.137395389348194,1.17826398301501,0.460541612951523,0.519378603961587,230928.623428109,0,0.13172037725017,0.335920154321219,0.473418075743752,0.0276786635813556,8313993.751907,0,0.062000036239624,181.14097905159,1,678,0,2,1355,FALSE,TRUE,3
