solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,DIG_costo,GEN_costo,cluster,top_sol
3_834_2,0,0.314884109724304,0.156085972553946,0.0777716467957834,0.334736798042209,0,0.309816745144704,0.243235985974812,0.457076162446037,0.145857463888772,6,FALSE
3_846_1,0,0.262554224670329,0.168623953195836,0.0321739834697862,0.32827456520695,0,0.794864747683869,0.126658763616149,0.318517735517863,0.101219657975648,2,FALSE
3_847_2,0,0.464041170345196,0.114306672513492,0.275346330281661,0.682563057571639,0,0,0.795079241998546,0.397000134929635,0.184824916779491,5,FALSE
3_849_2,0,0.28776658794054,0.156630466911234,0.0772020769157254,0.331432517636886,0,0.5906506628559,0.235801314411132,0.433834846901881,0.16186134685482,2,FALSE
3_856_2,0,0.309747243623747,0.151137492960325,0.115714582823128,0.624875113424865,0,0.77792089996223,0.341244391732901,0.455091310867831,0.193175204983957,6,FALSE
3_861_1,0,0.27049135841854,0.168655559253961,0.0450627309278023,0.340833877679505,0,0.820771716165951,0.126560112839619,0.318918739976842,0.101941440001016,2,FALSE
3_862_1,0,0.24917544944665,0.179071470914872,0.00515139965710037,0.153189470380987,0,0.552178883426763,0.024095246370649,0.209602920363533,0.0571909567616306,2,FALSE
3_862_2,0,0.589778852153635,0.109271672296631,0.315226590989085,0.829957222345411,0,0,0.546829511793652,0,0.101883892619757,3,FALSE
3_871_2,0,0.318971993525887,0.151097937136285,0.14066711688383,0.61754299221887,0,0.801837318883377,0.340864141416252,0.456868778333674,0.193383220937353,6,FALSE
3_891_1,0,0.278522089334305,0.168573424134344,0.0562653576129021,0.337008655834145,0,0.815297861190074,0.126084743862294,0.319089883242574,0.10139744174321,2,FALSE
3_900_1,0,0.318166403551289,0.154319235750896,0.0976596561803551,0.546881396104854,0,0.41136683467683,0.284682696097184,0.483179208748344,0.172265596024121,6,FALSE
3_903_2,0,0.248390468012835,0.180889714462578,0,0.0926766592701209,0,0.406258008360445,0,0.202128490315225,0.0468970643591715,2,FALSE
