solID,DIG_costo_alphas,DIG_costo_gammas,DIG_costo_thetas,GEN_costo_alphas,GEN_costo_gammas,GEN_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
2_860_2,1.79741666615006,0.69695957393567,0.420452285836711,2.26291685679453,0.874616931847188,0.216772572156478,2.97983864272927,0.927761031030632,0.184161832033801,2.08141477926197,0.473110618536313,0.365593308157379,0.674726574851794,0.664109137996714,0.0300350750581603,0.891165280660282,0.369882518150884,0.0922941353482378,0.719018751249457,0.468613831238992,0.182779971821405,431079.858579898,0,0.150186039602333,0.368887466702057,0.269077165478123,0.0596868922982442,7210993.61728321,0,0.025846004486084,127.204912900925,2,860,1,2,1720,TRUE,TRUE,3
2_866_1,2.27800129560482,0.565325620659819,0.392121196894548,0.80404270279051,0.539879241291473,0.148567840323797,0.939733428252798,0.516009500222671,0.0404993791930401,1.83116013395387,0.407811722920944,0.154582540930046,1.32605645187458,0.415479434546787,0.153360552826847,2.66200154363482,0.905253763851354,0.157266619486674,0.865737588722735,0.545113674568598,0.332136506901451,21567.416970287,0,0.107099761885146,0.694785455227863,0.624728684359883,0.00289119690784837,7210993.61728321,0,0.0265469551086426,128.048294067383,1,866,0,2,1731,TRUE,TRUE,2
2_876_2,2.94899174486164,0.677330056029915,0.414951331030173,0.960021003253814,0.51281762774348,0.980776495047407,2.53396159824769,0.942619150544402,0.179689053919142,1.47502724403947,0.54761116178624,0.316399990191424,1.27674089283315,0.83605926117154,0.378544223891734,0.958631990737979,0.485824325754887,0.0953362936669967,1.28726813255985,0.649416956012009,0.382133141179309,134821.603088667,0,0.111194249209021,0.472729058617415,0.595486506709798,0.0185985347146901,7210993.61728321,0,0.030552864074707,129.4692299366,2,876,0,2,1752,TRUE,TRUE,1
2_879_2,1.07326361350522,0.60827814206147,0.697553845734406,2.76832293154023,0.796907359308705,0.122119681121622,2.91577657299734,0.944882083967405,0.12313478449033,1.017977032021,0.494883910665153,0.329287641402008,0.595340391926608,0.72907484703125,0.115359452662727,0.979492308864032,0.341942731464972,0.0817402182755419,1.47678383969533,0.607375213474631,0.149924744266443,105732.718996068,0,0.110287484213206,0.5878294092646,0.602057046046278,0.0145641679108977,7210993.61728321,0,0.0419461727142334,129.955490112305,2,879,0,2,1758,TRUE,TRUE,3
2_911_1,2.27800129560482,0.615449671282374,0.355142042340426,0.6675868679244,0.303094519088439,0.152685609594317,0.939733428252798,0.516009500222671,0.0404993791930401,1.83116013395387,0.407811722920944,0.154582540930046,1.32605645187458,0.415479434546787,0.153360552826847,2.66200154363482,0.905253763851354,0.157266619486674,0.865737588722735,0.545113674568598,0.332136506901451,21567.416970287,0,0.10709940895109,0.693950061079543,0.624731157676474,0.00289119690784837,7210993.61728321,0,0.0262601375579834,134.519673109055,1,911,0,2,1821,TRUE,TRUE,1
2_919_1,1.13869292876805,0.945740707257108,0.674476007858958,2.76868487176259,0.768198959507732,0.12743290110656,2.92488602241272,0.924900614109541,0.100163787601619,1.19581508043019,0.483958536458886,0.328206935502662,0.654344574679373,0.690538692511077,0.138791428565558,1.29814237881613,0.39711067509151,0.152333053654312,0.801457796310333,0.325319514753843,0.0905149469732794,446994.689985601,0,0.15108572172494,0.332248866851536,0.260293820981988,0.0618941363886923,7210993.61728321,0,0.0278217792510986,135.643838882446,1,919,1,2,1837,TRUE,TRUE,1
2_927_2,1.96762427703569,0.585543655493758,0.649254904399728,2.88718178459735,0.773155805887056,0.193961929686152,2.61599390056632,0.942698507971195,0.0328160675884195,1.92072934067386,0.939572046866589,0.0337999335701766,1.08830629983477,0.959455145429869,0.233206272830252,2.37691994298472,0.42518032808143,0.388397878518438,0.724968230027186,0.933088766357833,0.00732353132831432,757916.187391103,0,0.162576123593359,0.285544524925325,0.143502838805515,0.105016153848184,7210993.61728321,0,0.0255289077758789,136.785373926163,2,927,1,2,1854,TRUE,TRUE,1
2_934_1,1.13869292876805,0.945740707257108,0.674476007858958,2.76868487176259,0.768198959507732,0.12743290110656,2.92488602241272,0.924900614109541,0.100163787601619,1.19581508043019,0.556557133582211,0.339913875902861,0.528577686242738,0.913847914521171,0.16040403136788,1.1387787540516,0.39711067509151,0.152333053654312,0.801457796310333,0.325319514753843,0.0905149469732794,446994.6899856,0,0.151144522151747,0.331963498235021,0.259717942568485,0.0618941363886922,7210993.61728321,0,0.0259709358215332,137.711556911469,1,934,1,2,1867,TRUE,TRUE,2
2_936_2,2.94899174486164,0.677330056029915,0.414951331030173,0.960021003253814,0.51281762774348,0.977219622993909,2.12542374649654,0.872751103484828,0.12043872378361,1.82163995726383,0.557969841006373,0.219768829414518,1.31521545889047,0.775925968228871,0.294184317509106,0.957739748169912,0.592516895510986,0.0472301938117862,1.40484734060435,0.640837776125554,0.382133141179309,134821.603088667,0,0.111248384670679,0.494690300904103,0.595092532101158,0.0185985347146901,7210993.61728321,0,0.0379998683929443,138.061630964279,2,936,0,2,1872,TRUE,TRUE,2
2_979_1,1.08411924606932,0.921200790212866,0.715810495228413,2.75751991085934,0.855481164884708,0.155034658397369,2.874839985429,0.950620407862266,0.0542798504156147,0.758188662846676,0.556557133582211,0.339913875902861,0.528577686242738,0.913847914521171,0.16040403136788,1.1387787540516,0.39711067509151,0.152333053654312,0.801457796310333,0.325319514753843,0.0905149469732794,446994.6899856,0,0.151184401265546,0.335976932801807,0.25932724780009,0.0618941363886922,7210993.61728321,0,0.0266239643096924,144.735897064209,1,979,1,2,1957,TRUE,TRUE,3
2_994_1,1.13869292876805,0.945740707257108,0.674476007858958,2.76868487176259,0.718806324476197,0.12743290110656,2.92488602241272,0.924900614109541,0.100163787601619,1.19581508043019,0.556557133582211,0.339913875902861,0.528577686242738,0.913847914521171,0.16040403136788,1.1387787540516,0.39711067509151,0.152333053654312,0.801457796310333,0.325319514753843,0.0905149469732794,446994.6899856,0,0.15119687242652,0.331530008655054,0.259205046964215,0.0618941363886922,7210993.61728321,0,0.0289361476898193,147.005640029907,1,994,1,2,1987,TRUE,TRUE,2
3_268_1,1.91451202695565,0.819767403145754,0.358056408730329,2.87652827173975,0.907522177338065,0.166964061655332,2.50358559023612,0.897938407370305,0.142294188395497,2.15832893708103,0.636274918583443,0.372505124791982,1.1831606941212,0.436796932276713,0.0665947208377526,2.70896466129815,0.946644212596475,0.136617670776514,2.29019302538341,0.50735391869481,0.29514922080365,416533.349162803,0,0.148073424454228,0.383274325507287,0.289495815349239,0.057669422170598,7210993.61728321,0,0.0290079116821289,39.2293767929077,1,268,1,3,535,TRUE,TRUE,3
